"","date","value","variable","Element","DL_ppb","variable_units","Class","mean_val","sd_val"
"139",2017-04-11,80.19319,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"140",2017-04-12,81.23197,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"141",2017-04-13,158.86793,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"142",2017-04-14,244.02866,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"143",2017-04-15,242.3767,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"144",2017-04-16,244.57115,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"145",2017-04-17,278.63693,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"146",2017-04-18,288.25819,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"147",2017-04-19,385.92816,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"148",2017-04-20,304.40033,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"149",2017-04-21,197.51982,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"150",2017-04-22,142.18673,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"151",2017-04-23,169.4738,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"152",2017-04-24,221.55289,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"153",2017-04-25,170.16543,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"154",2017-04-26,238.9365,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"155",2017-04-27,220.93733,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"156",2017-04-29,177.80668,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"157",2017-04-30,153.1851,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"158",2017-05-01,97.46312,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"159",2017-05-02,133.99128,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"160",2017-05-03,119.05761,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"161",2017-05-04,154.15219,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"162",2017-05-05,260.42001,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"163",2017-05-06,263.34387,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"164",2017-05-07,253.2649,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"165",2017-05-08,263.45518,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"166",2017-05-09,284.09527,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"167",2017-05-10,301.88893,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"168",2017-05-11,276.98493,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"169",2017-05-12,208.25317,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"170",2017-05-13,179.70595,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"171",2017-05-15,218.93637,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"172",2017-05-16,237.85182,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"173",2017-05-17,231.63058,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"174",2017-05-18,237.17668,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"175",2017-05-19,266.22275,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"176",2017-05-20,251.4071,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"177",2017-05-21,258.37202,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"178",2017-05-22,236.50162,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"179",2017-05-23,235.64639,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"180",2017-05-24,209.21758,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"181",2017-05-25,210.07116,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"182",2017-05-26,200.86169,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"183",2017-05-27,217.06083,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"184",2017-05-28,156.46435,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"185",2017-05-29,146.42231,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"186",2017-05-30,142.29022,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"187",2017-05-31,137.26548,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"188",2017-06-01,131.46165,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"189",2017-06-02,135.38477,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"190",2017-06-03,124.75362,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"191",2017-06-04,130.26479,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"192",2017-06-05,135.22649,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"193",2017-06-06,133.4646,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"194",2017-06-07,132.37295,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"195",2017-06-08,195.1007,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"196",2017-06-09,94.80321,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"197",2017-06-10,79.54763,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"198",2017-06-11,81.66342,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"199",2017-06-12,85.4128,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"200",2017-06-13,105.00787,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"201",2017-06-14,89.30307,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"202",2017-06-15,83.87141,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"203",2017-06-16,85.33801,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"204",2017-06-17,95.65885,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"205",2017-06-18,86.18482,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"206",2017-06-19,85.22637,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"207",2017-06-20,79.7022,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"208",2017-06-21,100.66041,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"209",2017-06-22,104.78708,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"210",2017-06-23,63.24206,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"211",2017-06-24,61.31137,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"212",2017-06-25,58.83607,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"213",2017-06-26,61.11801,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"214",2017-06-27,60.86573,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"215",2017-06-28,68.86861,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"216",2017-06-29,63.09118,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"217",2017-06-30,64.98036,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"218",2017-07-01,60.5696,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"219",2017-07-02,63.82904,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"220",2017-07-03,84.49912,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"221",2017-07-04,56.79907,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"222",2017-07-05,58.84053,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"223",2017-07-06,58.10603,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"224",2017-07-07,421.99235,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"225",2017-07-08,64.69559,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"226",2017-07-09,63.84681,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"227",2017-07-10,65.17698,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"228",2017-07-11,64.20159,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"229",2017-07-12,70.83903,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"230",2017-07-13,89.531,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"231",2017-07-14,95.2967,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"232",2017-07-15,83.09775,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"233",2017-07-18,88.93725,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"234",2017-07-19,94.95502,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"235",2017-07-20,89.89913,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"236",2017-07-21,41.91537,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"237",2017-07-22,113.03243,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"238",2017-07-23,42.26038,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"239",2017-07-24,37.6075,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"240",2017-07-25,52.03595,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"241",2017-07-26,61.31438,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"242",2017-07-27,73.18366,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"243",2017-07-28,73.52851,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"244",2017-07-29,43.78023,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"245",2017-07-30,73.05258,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"246",2017-07-31,58.48748,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"247",2017-08-01,44.17961,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"248",2017-08-02,55.04149,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"249",2017-08-03,70.26468,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"250",2017-08-04,56.89057,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"251",2017-08-05,52.01323,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
